Flag,Freq,Confirmed
0,0,0
1,0,1
2,0,0
3,0,0
4,0,0
5,0,0
6,0,16
7,0,0
8,12,1
9,6,21
10,7,1
11,21,0
12,16,26
13,0,9
14,0,25
15,10,2
16,8,1
17,6,0
18,1,0
19,1,1
20,5,0
21,9,1
22,0,1
23,2,0
24,8,5
25,0,0
26,2,0
27,2,1
28,0,0
29,15,0
30,0,0
31,0,0
32,0,3
33,0,2
34,0,1
35,13,0
36,4,1
37,0,1
38,9,2
39,4,0
40,0,2
41,0,1
42,7,0
43,0,0
44,2,0
45,0,0
46,3,0
47,9,3
48,1,0
49,0,4
50,3,3
51,0,2
52,0,1
53,2,0
54,1,0
55,1,0
56,0,0
57,26,0
58,1,7
59,17,0
60,2,0
61,1,1
62,2,0
63,1,0
64,0,0
65,0,1
66,1,0
67,3,18
68,1,6
69,2,12
70,1,0
71,0,1
72,0,0
73,8,0
74,1,3
75,0,9
76,1,1
77,33,0
78,6,1
79,4,0
80,21,0
81,2,1
82,1,0
83,21,3
84,9,0
85,2,1
86,5,0
87,2,1
88,12,13
89,0,0
90,0,0
91,2,2
92,10,0
93,3,0
94,0,0
95,2,0
96,0,0
97,0,2
98,6,1
99,11,0
100,0,0
101,0,0
102,1,0
103,0,0
104,0,0
105,0,0
106,0,0
107,0,0
108,1,0
109,0,0
110,0,1
111,0,0
112,3,0
113,0,0
114,0,0
115,3,0
116,2,0
117,1,0
118,2,0
119,2,0
120,3,0
121,1,0
122,0,0
123,0,0
124,0,1
125,1,1
126,2,1
127,2,1
128,3,0
129,2,0
130,3,1
131,4,0
132,9,0
133,4,0
134,1,2
135,0,0
136,0,1
137,0,1
138,1,3
139,0,0
140,4,0
141,0,0
142,0,1
143,0,0
144,0,0
145,5,0
146,1,0
147,0,0
148,0,0
149,0,0
150,0,3
151,0,0
152,0,1
153,0,2
154,0,2
155,0,1
156,0,2
157,0,1
158,0,2
159,0,1
160,0,3
161,0,2
162,0,1
163,0,1
164,0,0
165,0,0
166,0,0
167,0,0
168,0,2
169,65,0
170,0,0
171,0,0
172,0,0
173,0,2
174,0,0
175,0,3
176,1,4
177,0,2
178,1,4
179,2,4
180,0,5
181,2,2
182,1,5
183,0,3
184,0,1
185,0,5
186,0,4
187,23,1
188,0,2
189,0,0
190,0,0
191,0,0
192,0,0
193,13,0
194,0,0
195,0,0
196,0,0
197,1,1
198,2,1
199,0,2
200,0,5
201,0,2
202,0,0
203,0,0
204,5,0
205,1,0
206,0,0
207,0,0
208,0,0
209,0,0
210,1,0
211,1,1
212,0,0
213,1,1
214,1,0
215,0,1
216,1,2
217,1,3
218,0,1
219,1,4
220,0,2
221,1,5
222,0,0
223,3,1
224,0,2
225,3,2
226,5,7
227,6,5
228,7,9
229,3,8
230,8,2
231,1,3
232,2,5
233,1,3
234,4,8
235,5,13
236,1,2
237,2,4
238,1,6
239,1,10
240,1,3
241,1,12
242,2,6
243,1,4
244,1,2
245,7,5
246,5,4
247,4,7
248,2,0
249,7,1
250,13,5
251,1,2
252,6,2
253,0,1
254,0,12
255,5,8
256,13,0
257,0,0
258,7,0
259,0,0
260,0,0
261,0,0
262,0,0
263,0,0
264,0,0
265,0,0
266,0,0
267,8,7
268,22,1
269,0,0
270,1,0
271,0,1
272,4,0
273,8,0
274,0,1
275,1,1
276,2,2
277,1,1
278,0,1
279,0,0
280,0,0
281,0,0
282,13,0
283,0,0
284,0,0
285,0,0
286,0,1
287,6,24
288,1,4
289,0,5
290,4,20
291,0,1
292,0,1
293,2,10
294,1,3
295,0,2
296,0,3
297,3,0
298,4,0
299,0,0
300,1,0
301,0,3
302,2,0
303,0,0
304,0,0
305,0,0
306,14,0
307,31,0
308,0,0
309,0,0
310,1,0
311,0,0
312,0,0
313,2,0
314,2,0
315,2,2
316,10,0
317,2,0
318,2,0
319,2,2
320,0,0
321,1,0
322,1,0
323,0,0
324,3,0
325,1,1
326,2,1
327,0,0
328,0,0
329,0,0
330,0,0
331,0,0
332,0,0
333,1,1
334,0,0
335,3,0
336,0,0
337,0,0
338,0,0
339,0,0
340,0,0
341,1,0
342,0,0
343,0,0
344,0,0
345,0,0
346,0,0
347,0,0
348,0,0
349,0,0
350,0,0
351,0,0
352,0,0
353,0,0
354,0,0
355,0,0
356,0,0
357,0,0
358,0,0
359,0,0
360,0,0
361,0,0
362,0,0
363,0,0
364,0,0
365,0,0
366,0,0
367,0,0
368,0,0
369,0,0
370,0,0
371,0,0
372,0,0
373,0,0
374,0,0
375,0,0
376,0,0
377,0,0
378,0,0
379,0,0
380,0,0
381,0,0
382,0,0
383,0,0
384,0,0
385,0,0
386,0,0
387,0,0
388,0,0
389,0,0
390,0,0
391,0,0
392,0,0
393,0,0
394,0,0
395,0,0
396,0,0
397,0,0
398,0,0
399,0,0
400,0,0
401,0,0
402,0,0
403,0,0
404,0,0
405,0,0
406,0,0
407,0,0
408,0,0
409,0,0
410,0,0
411,0,0
412,0,0
413,0,0
414,0,0
415,0,0
416,0,0
417,0,0
418,0,0
419,0,0
420,0,0
421,0,0
422,0,0
423,0,0
424,0,0
425,0,0
426,0,0
427,0,0
428,0,0
429,0,0
430,0,0
431,0,0
432,0,0
433,0,0
434,0,0
435,0,0
436,0,0
437,0,0
438,0,0
439,0,0
440,0,0
441,0,0
442,0,0
443,0,0
444,0,0
445,0,0
446,0,0
447,0,0
448,0,0
449,0,0
450,0,0
451,0,0
452,0,0
453,0,0
454,0,0
455,0,0
456,0,0
457,0,0
458,0,0
459,0,0
460,0,0
461,0,0
462,0,0
463,0,0
464,0,0
465,0,0
466,0,0
467,0,0
468,0,0
469,0,0
470,0,0
471,0,0
472,0,0
473,0,0
474,0,0
475,0,0
476,0,0
477,0,0
478,0,0
479,0,0
480,0,0
481,0,0
482,0,0
483,0,0
484,0,0
485,0,0
486,0,0
487,0,0
488,0,0
489,0,0
490,0,0
491,0,0
492,0,0
493,0,0
494,0,0
495,0,0
496,0,0
497,0,0
498,0,0
499,0,0
