Algorithm;Config;Voice;ID;High;Steps;Notes;Tonic;Minor;Range;Culminations;Decc_min;Decc_max;Decc_av;Maccr_min;Maccr_max;Maccr_av;Tonics;VI;VI#;VII;VII#;Smooth;Leaps;2leaps;3leaps;Leaped;Leaps_win;Leaped_win;
GenCP1;cp5;1;6;1;13;13;9;1;9;1;1,3574;2,0990;1,7520;5,17;5,17;5,17;2;1;0;0;1;9;3;0;0;10;3;10;
GenCP1;cp5;1;6;1;13;13;9;1;9;1;1,3574;2,0990;1,7520;5,17;5,17;5,17;2;1;0;0;1;9;3;0;0;10;3;10;
GenCA1;good-cf-min;0;1;0;10;10;0;1;8;1;1,8145;2,2815;2,0426;3,2787;3,2787;3,2787;2;1;0;0;0;7;2;0;0;7;2;7;
GenCA1;good-cf-min;0;2;0;9;9;7;1;7;2;1,6399;2,0168;1,8581;3,2787;3,2787;3,2787;2;2;0;1;1;6;2;0;0;6;2;6;
GenCA1;good-cf-min;1;2;0;9;9;7;1;9;2;1,9946;2,5262;2,2480;3,2787;3,2787;3,2787;2;2;0;1;1;5;3;1;0;10;3;10;
GenCA1;good-cf-min;0;3;0;13;13;9;1;7;1;1,6670;2,1783;1,8664;2,1480;2,1480;2,1480;4;2;1;1;2;8;4;0;0;14;4;14;
GenCA1;good-cf-min;1;3;0;13;13;9;1;9;1;1,7861;2,5154;2,1079;2,4184;2,4184;2,4184;4;2;1;1;2;7;5;1;0;18;5;18;
GenCA1;good-cf-min;0;4;0;13;13;9;1;14;1;0,8272;2,3841;1,8692;9,62;9,62;9,62;3;2;0;1;1;9;3;0;0;11;3;11;
GenCA1;good-cf-min;1;4;0;13;13;9;1;14;1;1,2071;2,3841;1,9513;9,32;9,32;9,32;3;2;0;2;0;9;3;0;0;11;3;11;
GenCA1;good-cf-min;0;5;0;13;13;9;1;12;1;1,4708;2,7611;2,0230;5,98;5,98;5,98;2;0;2;1;1;10;2;0;0;8;2;8;
GenCA1;good-cf-min;0;6;0;13;13;9;1;9;1;1,3574;2,0990;1,7520;5,17;5,17;5,17;2;1;0;0;1;9;3;0;0;10;3;10;
GenCA1;good-cf-min;0;7;0;13;13;9;1;9;1;1,2406;2,6796;1,9419;4,5350;4,5350;4,5350;3;0;1;0;0;9;3;0;0;10;3;10;
GenCA1;good-cf-min;1;7;0;13;13;9;1;8;1;1,2406;2,6796;1,8315;4,3513;4,3513;4,3513;3;1;0;0;0;9;3;0;0;10;3;10;
GenCA1;good-cf-min;0;8;0;13;13;9;1;9;1;1,2190;3,1746;2,1988;3,4537;3,4537;3,4537;4;0;1;0;0;9;3;1;0;14;3;14;
GenCA1;good-cf-min;1;8;0;13;13;9;1;8;2;1,2190;2,6592;2,0120;3,3262;3,3262;3,3262;3;0;0;0;1;8;4;1;1;16;4;16;
GenCA1;good-cf-min;0;9;0;13;13;9;1;10;1;1,3400;2,8838;2,1089;4,9439;4,9439;4,9439;3;2;0;1;1;8;4;0;0;14;4;14;
GenCA1;good-cf-min;1;9;0;13;13;9;1;10;1;1,7026;2,8838;2,2029;4,7080;4,7080;4,7080;3;2;0;2;0;8;4;0;0;14;4;14;
GenCA1;good-cf-min;0;10;0;13;13;9;1;9;1;1,0086;2,5554;1,8279;4,2101;4,2101;4,2101;3;3;0;1;1;9;3;0;0;12;3;12;
GenCA1;good-cf-min;0;11;0;13;13;9;1;8;1;1,1433;2,4022;1,6629;3,1553;3,1553;3,1553;4;0;0;0;1;10;2;0;0;8;2;8;
GenCA1;good-cf-min;0;12;0;13;13;9;1;11;1;1,2768;2,6738;2,2576;4,3668;4,3668;4,3668;3;2;1;1;1;8;4;0;0;16;4;16;
GenCA1;good-cf-min;0;13;0;13;13;9;1;12;1;1,3577;4,0968;2,5484;2,9218;2,9218;2,9218;3;0;1;1;1;9;3;0;0;14;3;14;
GenCA1;good-cf-min;1;13;0;13;13;9;1;12;1;1,3577;4,2266;2,6130;3,0850;3,0850;3,0850;3;1;0;1;1;9;3;0;0;14;3;14;
GenCA1;good-cf-min;0;14;0;13;13;9;1;9;1;1,4948;2,7152;1,9893;2,8543;2,8543;2,8543;4;0;0;1;1;9;3;0;0;12;3;12;
GenCA1;good-cf-min;0;15;0;13;13;9;1;8;1;1,1886;2,9635;1,9974;2,8058;2,8058;2,8058;4;1;0;0;2;9;3;0;0;12;3;12;
GenCA1;good-cf-min;0;16;0;13;13;9;1;10;1;1,6413;2,9775;2,2275;4,3856;4,3856;4,3856;2;2;0;1;0;8;4;0;0;16;4;16;
GenCA1;good-cf-min;0;17;0;13;13;9;1;8;1;1,2190;2,6796;1,9935;4,3619;4,3619;4,3619;3;1;0;0;0;9;3;0;0;12;3;12;
GenCA1;good-cf-min;0;18;0;13;13;9;1;10;1;1,4524;2,3235;1,8521;4,8720;4,8720;4,8720;2;1;0;1;0;9;3;0;0;10;3;10;
GenCA1;good-cf-min;0;19;0;13;13;9;1;11;1;1,2768;3,6975;2,2596;3,9915;3,9915;3,9915;3;2;1;2;1;8;4;0;0;16;4;16;
GenCA1;good-cf-min;0;20;0;13;13;9;1;8;1;1,4440;2,0282;1,8354;3,1298;3,1298;3,1298;3;0;0;0;1;9;3;0;0;10;3;10;
GenCA1;good-cf-maj;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCA1;good-cf-maj;0;2;0;11;11;0;0;9;1;1,7436;2,1220;1,9501;3,6964;3,7758;3,7361;2;0;1;0;0;8;2;0;0;6;2;6;
GenCA1;good-cf-maj;0;3;0;9;9;0;0;12;1;1,9833;2,4475;2,2533;3,6964;3,7758;3,7361;2;0;1;0;1;5;3;0;0;11;3;11;
GenCA1;good-cf-maj;1;3;0;9;9;0;0;12;1;1,7024;2,1249;1,9157;3,6964;3,7758;3,7361;2;0;1;0;0;6;2;0;0;7;2;7;
GenCA1;good-cf-maj;0;4;0;9;9;0;0;9;1;2,2180;2,9515;2,5295;3,6964;3,7758;3,7361;2;0;1;0;0;4;4;1;0;16;4;16;
GenCA1;good-cf-maj;0;5;0;10;10;0;0;12;1;1,8553;2,8856;2,2382;6,00;6,00;6,00;2;0;2;0;1;6;3;0;0;12;3;12;
GenCA1;good-cf-maj;0;6;0;9;9;0;0;9;1;1,2768;3,1833;2,4522;6,00;6,00;6,00;3;0;1;0;1;5;3;1;0;14;3;14;
GenCA1;good-cf-maj;0;7;0;13;13;0;0;9;1;1,4444;2,1286;1,8129;3,3913;3,3913;3,3913;2;0;1;0;0;10;2;0;0;6;2;6;
GenCA1;good-cf-maj;0;8;0;13;13;0;0;9;1;1,7554;2,9847;2,2439;4,0903;4,0903;4,0903;3;0;1;0;0;9;3;0;0;12;3;12;
GenCA1;good-cf-maj;0;9;0;9;9;0;0;9;1;1,8840;2,9515;2,2649;4,0903;4,0903;4,0903;2;0;1;0;0;6;2;0;0;8;2;8;
GenCA1;good-cf-maj;0;10;0;9;9;0;0;9;1;1,6630;3,4923;2,6669;4,0903;4,0903;4,0903;3;0;1;0;0;5;3;1;0;12;3;12;
GenCA1;good-cf-maj;0;11;0;9;9;0;0;8;1;0,9749;2,2572;1,8770;4,0903;4,0903;4,0903;3;0;0;0;1;6;2;0;0;6;2;6;
GenCA1;good-cf-maj;1;11;0;9;9;0;0;8;1;0,9107;2,1956;1,8041;4,0903;4,0903;4,0903;3;0;0;0;1;6;2;1;0;6;2;6;
GenCA1;good-cf-maj;0;12;0;9;9;0;0;8;1;1,4948;2,7068;2,1342;4,0903;4,0903;4,0903;3;0;0;0;1;6;2;0;0;8;2;8;
GenCA1;good-cf-maj;0;13;0;13;13;0;0;10;1;1,3345;2,9885;2,1138;5,21;5,21;5,21;3;0;1;0;2;8;4;1;0;14;4;14;
GenCA1;good-cf-maj;0;14;0;13;13;0;0;11;1;1,3727;2,8714;2,2659;3,3297;3,3297;3,3297;4;0;2;0;3;9;3;1;0;14;3;14;
GenCA1;good-cf-maj;0;15;0;13;13;0;0;8;1;1,1295;2,2465;1,7632;2,9949;2,9949;2,9949;4;0;1;0;2;10;2;0;0;8;2;8;
GenCA1;good-cf-maj;0;16;0;13;13;0;0;11;1;1,5166;3,1297;2,5912;4,2137;4,2137;4,2137;3;0;2;0;1;9;3;0;0;14;3;14;
GenCA1;good-cf-maj;0;17;0;13;13;0;0;9;1;1,2617;2,5210;1,8178;2,8226;2,8226;2,8226;4;0;2;0;3;9;3;0;0;10;3;10;
GenCA1;good-cf-maj;0;18;0;13;13;0;0;10;1;1,1829;2,1286;1,8081;5,54;5,54;5,54;3;0;1;0;1;10;2;0;0;6;2;6;
GenCA1;good-cf-maj;0;19;0;13;13;0;0;10;1;1,5195;2,5645;1,9596;4,6830;4,6830;4,6830;2;0;1;0;1;9;3;0;0;10;3;10;
GenCA1;good-cf-maj;0;20;0;13;13;0;0;11;1;1,7926;2,7666;2,2673;5,26;5,26;5,26;2;0;2;0;1;9;3;0;0;12;3;12;
GenCA1;good-cf-maj;0;21;0;13;13;0;0;9;1;1,7554;2,8010;2,1877;2,9392;2,9392;2,9392;2;0;1;0;0;9;3;0;0;12;3;12;
GenCA1;good-cf-maj;0;22;0;13;13;0;0;8;1;1,1136;2,3710;1,8147;3,5416;3,5416;3,5416;4;0;0;0;2;9;3;0;0;10;3;10;
GenCA1;good-cf-maj;0;23;0;13;13;0;0;10;1;1,6671;3,3913;2,2121;4,0901;4,0901;4,0901;4;0;1;0;1;9;3;1;0;12;3;12;
GenCA1;good-cf-maj;0;24;0;13;13;0;0;10;1;1,0086;2,4022;1,9073;3,9365;3,9365;3,9365;4;0;1;0;2;10;2;0;0;8;2;8;
GenCA1;good-cf-maj;0;25;0;13;13;0;0;10;1;1,3596;1,7784;1,6711;5,61;5,61;5,61;3;0;1;0;1;10;2;0;0;6;2;6;
GenCA1;good-cf-maj;0;26;0;13;13;0;0;10;1;1,6734;2,7618;2,2090;3,6143;3,6143;3,6143;3;0;1;0;1;9;3;0;0;14;3;14;
GenCA1;good-cf-maj;1;26;0;13;13;0;0;8;2;1,3524;2,7618;1,9140;3,2316;3,2316;3,2316;3;0;1;0;1;9;3;0;0;12;3;12;
GenCA1;good-cf-maj;0;27;0;13;13;0;0;10;1;1,1377;3,1881;2,0611;3,6202;3,6202;3,6202;3;0;1;0;2;9;3;0;0;12;3;12;
GenCA1;good-cf-maj;0;28;0;13;13;0;0;10;1;1,0086;2,5449;2,1747;4,6897;4,6897;4,6897;3;0;2;0;2;9;3;0;0;14;3;14;
GenCA1;good-cf-maj;0;29;0;13;13;0;0;9;1;1,5916;2,8002;2,1247;2,9331;2,9331;2,9331;3;0;3;0;2;8;4;0;0;16;4;16;
GenCP1;cp5;1;1;1;10;10;0;1;8;1;1,8145;2,2815;2,0426;3,2787;3,2787;3,2787;2;1;0;0;0;7;2;0;0;7;2;7;
GenCP1;cp5;0;1;0;10;10;0;1;8;1;1,8145;2,2815;2,0426;3,2787;3,2787;3,2787;2;1;0;0;0;7;2;0;0;7;2;7;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCP1;cp5;0;1;0;9;9;0;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCA2;good-cp5;0;1;0;9;9;2;0;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
GenCA2;good-cp5;1;2;1;11;11;0;0;9;1;1,7715;2,1014;1,9303;3,7576;3,9005;3,8291;2;0;1;0;0;8;2;0;0;6;2;6;
GenCA2;good-cp5;0;3;0;9;9;2;0;9;1;1,8176;3,6546;2,3637;2,6268;10,08;5,20;2;0;1;0;0;5;3;0;0;12;3;12;
GenCA2;good-cp5;0;4;0;9;9;2;0;9;1;1,8176;3,6546;2,3637;1,7563;2,6126;2,1765;2;0;1;0;0;5;3;0;0;12;3;12;
GenCA2;good-cp5;0;5;0;11;11;0;0;9;1;1,7715;2,1014;1,9303;3,7576;3,9005;3,8291;2;0;1;0;0;8;2;0;0;6;2;6;
GenCA2;good-cp5;0;6;0;9;9;2;0;9;1;1,8176;3,6546;2,3637;2,4531;4,4345;3,3931;2;0;1;0;0;5;3;0;0;12;3;12;
GenCA2;good-cp5;0;7;0;11;11;0;0;9;1;1,7715;2,1014;1,9303;3,7576;3,9005;3,8291;2;0;1;0;0;8;2;0;0;6;2;6;
GenCA2;good-cp5;1;8;1;11;11;0;0;9;1;1,7715;2,1014;1,9303;3,7576;3,9005;3,8291;2;0;1;0;0;8;2;0;0;6;2;6;
GenCA2;good-cp5;0;9;0;11;11;9;1;7;1;1,4176;1,9910;1,7475;2,4170;2,5825;2,4997;3;0;0;0;0;7;3;0;0;10;3;10;
GenCA2;good-cp5;1;10;1;9;9;2;0;9;1;1,8176;3,6546;2,3637;4,4892;9,12;6,56;2;0;1;0;0;5;3;0;0;12;3;12;
GenCA2;good-cp5;1;11;1;9;9;2;0;9;1;1,8176;3,6546;2,3637;4,4501;7,67;5,89;2;0;1;0;0;5;3;0;0;12;3;12;
GenCA2;good-cp5;0;12;0;9;9;2;0;9;1;1,8176;3,6546;2,3637;5,27;8,88;6,54;2;0;1;0;0;5;3;0;0;12;3;12;
GenCA2;good-cp5;0;13;0;9;9;2;0;9;1;1,8176;3,6546;2,3637;7,68;12,17;9,65;2;0;1;0;0;5;3;0;0;12;3;12;
GenCA2;good-cp5;0;14;0;9;9;0;1;8;1;1,5730;3,2671;2,0960;3,8258;6,70;5,80;2;1;0;0;0;6;2;0;0;8;2;8;
GenCA2;good-cp5;0;15;0;9;9;0;1;8;1;1,5730;3,2671;2,0960;3,2355;4,5275;4,3017;2;1;0;0;0;6;2;0;0;8;2;8;
2017-10-22 08:03:09;GenCA2;97443456;0;1;0;9;9;2;9;1;1,8176;3,6546;2,3637;0;0;0;2;0;1;0;0;5;3;0;0;12;3;12;
2017-10-22 08:03:09;GenCA2;97443456;1;2;1;11;11;0;9;1;1,7715;2,1014;1,9303;3,7576;3,9005;3,8291;2;0;1;0;0;8;2;0;0;6;2;6;
2017-10-22 08:03:09;GenCA2;97443456;0;3;0;9;9;2;9;1;1,8176;3,6546;2,3637;2,6268;10,08;5,20;2;0;1;0;0;5;3;0;0;12;3;12;
2017-10-22 08:03:09;GenCA2;97443456;0;4;0;9;9;2;9;1;1,8176;3,6546;2,3637;1,7563;2,6126;2,1765;2;0;1;0;0;5;3;0;0;12;3;12;
2017-10-22 08:03:09;GenCA2;97443456;0;5;0;11;11;0;9;1;1,7715;2,1014;1,9303;3,7576;3,9005;3,8291;2;0;1;0;0;8;2;0;0;6;2;6;
2017-10-22 08:03:09;GenCA2;97443456;0;6;0;9;9;2;9;1;1,8176;3,6546;2,3637;2,4531;4,4345;3,3931;2;0;1;0;0;5;3;0;0;12;3;12;
